Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,,,
Samadhi,01-Jan-50,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.75,,,
Babul,01-Jan-50,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.7,,,
Awaara,01-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25,,,
Albela,01-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.9,,,
Baazi,01-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Deedar,01-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.8,,,
Jadoo,01-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.7,,,
Aan,01-Jan-52,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5,,,
Baiju Bawra,01-Jan-52,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Daag,01-Jan-52,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.8,,,
Jaal,01-Jan-52,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Anarkali,01-Jan-53,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Nagin,01-Jan-54,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5,,,
Nastik,01-Jan-54,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Taxi Driver,01-Jan-54,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Uran Khatola,01-Jan-55,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1,,,
Shree 420,01-Jan-55,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Jhanak Jhanak Payal Baje,01-Jan-55,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Azaad,01-Jan-55,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5,,,
Ek Hi Rasta,01-Jan-56,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
C. I. D.,01-Jan-56,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Mother India,14-Feb-57,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Do Aankhen Barah Haath,01-Jan-57,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Naya Daur,01-Jan-57,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.2,,,
Pyaasa,01-Jan-57,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5,,,
Chalti Ka Naam Gaadi,01-Jan-58,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Madhumati,01-Jan-58,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Navrang,01-Jan-59,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Anari,01-Jan-59,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5,,,
Paigham,01-Jan-59,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.4,,,
Mughal-E-Azam,05-Aug-60,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.5,,,
Chaudhvin Ka Chand,01-Jan-60,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
Dil Apna Aur Preet Parai,01-Jan-60,0 Cr N.A,0 Cr N.A,0.15 Cr,0,,,
Kohinoor,01-Jan-60,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5,,,
Barsaat Ki Raat,01-Jan-60,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.7,,,
Junglee,01-Jan-61,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.7,,,
Ganga Jamuna,01-Jan-61,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.5,,,
Gharana,01-Jan-61,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.2,,,
